dateTime,Device,Metric,Value,RAG,
26/01/2020 20:00,A428,PM2.5,47.559998,,
26/01/2020 20:00,A4600,PM2.5,0.4,,
26/01/2020 20:00,B4098,PM2.5,12.35,,
26/01/2020 20:00,B4106,PM2.5,13.74,,
26/01/2020 20:30,A4114,PM2.5,78.729996,,
26/01/2020 20:30,A428,PM2.5,72.134998,,
26/01/2020 20:30,A4600,PM2.5,1.19,,
26/01/2020 20:30,B4098,PM2.5,19.83,,
26/01/2020 20:30,B4106,PM2.5,19.369999,,
26/01/2020 21:00,A4114,PM2.5,140.089996,,
26/01/2020 21:00,A428,PM2.5,111.839996,,
26/01/2020 21:00,A4600,PM2.5,7.57,,
26/01/2020 21:00,B4098,PM2.5,28.67,,
26/01/2020 21:00,B4106,PM2.5,36.215,,
26/01/2020 21:30,A4114,PM2.5,155.049995,,
26/01/2020 21:30,A428,PM2.5,143.25,,
26/01/2020 21:30,A4600,PM2.5,2.54,,
26/01/2020 21:30,B4098,PM2.5,32.82,,
26/01/2020 21:30,B4106,PM2.5,55.739998,,
26/01/2020 22:00,A4114,PM2.5,75.379997,,
26/01/2020 22:00,A428,PM2.5,103.833333,,
26/01/2020 22:00,A4600,PM2.5,1.665,,
26/01/2020 22:00,B4098,PM2.5,19.08,,
26/01/2020 22:00,B4106,PM2.5,41.919998,,
26/01/2020 22:30,A4114,PM2.5,72.229996,,
26/01/2020 22:30,A428,PM2.5,65.089996,,
26/01/2020 22:30,A4600,PM2.5,1.23,,
26/01/2020 22:30,B4098,PM2.5,12.57,,
26/01/2020 22:30,B4106,PM2.5,25.52,,
26/01/2020 23:00,A4114,PM2.5,73.610001,,
26/01/2020 23:00,A428,PM2.5,46.969997,,
26/01/2020 23:00,A4600,PM2.5,0.62,,
26/01/2020 23:00,B4098,PM2.5,16.82,,
26/01/2020 23:00,B4106,PM2.5,20.689999,,
26/01/2020 23:30,A4114,PM2.5,44.449999,,
26/01/2020 23:30,A428,PM2.5,34.459999,,
26/01/2020 23:30,A4600,PM2.5,0.67,,
26/01/2020 23:30,B4098,PM2.5,12.48,,
26/01/2020 23:30,B4106,PM2.5,24.119999,,
27/01/2020 00:00,A4114,PM2.5,27.269999,,
