dateTime,apMAC,Value
15/01/2020 03:00,D8:84:66:31:82:32,0
15/01/2020 03:00,D8:84:66:31:82:3E,0
15/01/2020 03:00,D8:84:66:31:82:40,17
15/01/2020 03:00,D8:84:66:31:82:66,23
15/01/2020 03:00,D8:84:66:31:82:B6,544
15/01/2020 03:00,D8:84:66:31:83:12,274
15/01/2020 03:00,D8:84:66:31:83:14,420
15/01/2020 03:00,D8:84:66:31:83:DA,162
15/01/2020 03:00,D8:84:66:31:85:A0,436
15/01/2020 03:00,D8:84:66:31:D4:0E,0
15/01/2020 03:00,D8:84:66:31:D4:10,0
15/01/2020 03:00,D8:84:66:31:D4:12,157
15/01/2020 03:00,D8:84:66:31:D4:18,0
15/01/2020 03:00,D8:84:66:31:D4:36,0
15/01/2020 03:00,D8:84:66:31:D4:42,1092
15/01/2020 03:00,D8:84:66:31:D4:4C,512
15/01/2020 03:00,D8:84:66:31:D4:52,0
15/01/2020 03:00,D8:84:66:31:D4:76,0
15/01/2020 03:00,D8:84:66:31:D4:82,356
15/01/2020 03:00,D8:84:66:31:D4:B2,207
15/01/2020 03:00,D8:84:66:31:D4:E2,0
15/01/2020 03:00,D8:84:66:31:D5:0C,0
15/01/2020 03:00,D8:84:66:31:D5:20,0
15/01/2020 03:00,D8:84:66:31:D5:26,129
15/01/2020 03:00,D8:84:66:31:D5:34,65
15/01/2020 03:00,D8:84:66:31:D5:48,0
15/01/2020 03:00,D8:84:66:31:D5:C4,0
15/01/2020 03:00,D8:84:66:31:D5:DA,563
15/01/2020 03:00,D8:84:66:31:D6:66,413
15/01/2020 03:00,D8:84:66:31:D6:6A,0
15/01/2020 03:00,D8:84:66:31:D6:C8,0
15/01/2020 03:00,D8:84:66:31:D6:D2,0
15/01/2020 03:00,D8:84:66:31:D6:E6,73
15/01/2020 04:00,D8:84:66:0D:1B:E4,0
15/01/2020 04:00,D8:84:66:30:F2:EC,232
15/01/2020 04:00,D8:84:66:30:F7:A2,0
15/01/2020 04:00,D8:84:66:30:F7:C0,0
15/01/2020 04:00,D8:84:66:30:F8:64,0
15/01/2020 04:00,D8:84:66:30:F8:A4,0
15/01/2020 04:00,D8:84:66:30:F9:DA,489
15/01/2020 04:00,D8:84:66:31:7F:24,141
15/01/2020 04:00,D8:84:66:31:7F:36,0
15/01/2020 04:00,D8:84:66:31:7F:42,63
15/01/2020 04:00,D8:84:66:31:7F:7E,136
15/01/2020 04:00,D8:84:66:31:7F:BC,0
15/01/2020 04:00,D8:84:66:31:7F:D4,118
15/01/2020 04:00,D8:84:66:31:80:02,113
15/01/2020 04:00,D8:84:66:31:80:1E,633
15/01/2020 04:00,D8:84:66:31:80:78,20
15/01/2020 04:00,D8:84:66:31:80:7C,0
15/01/2020 04:00,D8:84:66:31:80:86,212
15/01/2020 04:00,D8:84:66:31:80:D2,515
15/01/2020 04:00,D8:84:66:31:80:E4,37
15/01/2020 04:00,D8:84:66:31:80:EC,133
15/01/2020 04:00,D8:84:66:31:80:EE,124
15/01/2020 04:00,D8:84:66:31:80:F2,40
15/01/2020 04:00,D8:84:66:31:81:42,130
15/01/2020 04:00,D8:84:66:31:81:6C,439
15/01/2020 04:00,D8:84:66:31:81:74,0
15/01/2020 04:00,D8:84:66:31:81:A4,220
15/01/2020 04:00,D8:84:66:31:82:26,912
15/01/2020 04:00,D8:84:66:31:82:28,218
15/01/2020 04:00,D8:84:66:31:82:32,0
15/01/2020 04:00,D8:84:66:31:82:3E,0
15/01/2020 04:00,D8:84:66:31:82:40,28
15/01/2020 04:00,D8:84:66:31:82:66,24
15/01/2020 04:00,D8:84:66:31:82:B6,536
15/01/2020 04:00,D8:84:66:31:83:12,193
15/01/2020 04:00,D8:84:66:31:83:14,373
15/01/2020 04:00,D8:84:66:31:83:DA,97
15/01/2020 04:00,D8:84:66:31:85:A0,377
15/01/2020 04:00,D8:84:66:31:D4:0E,0
15/01/2020 04:00,D8:84:66:31:D4:10,0
15/01/2020 04:00,D8:84:66:31:D4:12,163
15/01/2020 04:00,D8:84:66:31:D4:18,0
15/01/2020 04:00,D8:84:66:31:D4:36,0
15/01/2020 04:00,D8:84:66:31:D4:42,1008
15/01/2020 04:00,D8:84:66:31:D4:4C,359
15/01/2020 04:00,D8:84:66:31:D4:52,0
15/01/2020 04:00,D8:84:66:31:D4:76,0
15/01/2020 04:00,D8:84:66:31:D4:82,277
15/01/2020 04:00,D8:84:66:31:D4:B2,160
15/01/2020 04:00,D8:84:66:31:D4:E2,0
15/01/2020 04:00,D8:84:66:31:D5:0C,0
15/01/2020 04:00,D8:84:66:31:D5:20,0
15/01/2020 04:00,D8:84:66:31:D5:26,82
15/01/2020 04:00,D8:84:66:31:D5:34,56
15/01/2020 04:00,D8:84:66:31:D5:48,0
15/01/2020 04:00,D8:84:66:31:D5:C4,0
15/01/2020 04:00,D8:84:66:31:D5:DA,442
15/01/2020 04:00,D8:84:66:31:D6:66,292
15/01/2020 04:00,D8:84:66:31:D6:6A,0
15/01/2020 04:00,D8:84:66:31:D6:C8,0
15/01/2020 04:00,D8:84:66:31:D6:D2,0
15/01/2020 04:00,D8:84:66:31:D6:E6,116
15/01/2020 05:00,D8:84:66:0D:1B:E4,0
15/01/2020 05:00,D8:84:66:30:F2:EC,351
15/01/2020 05:00,D8:84:66:30:F7:A2,0
15/01/2020 05:00,D8:84:66:30:F7:C0,0
15/01/2020 05:00,D8:84:66:30:F8:64,0
15/01/2020 05:00,D8:84:66:30:F8:A4,0
15/01/2020 05:00,D8:84:66:30:F9:DA,535
15/01/2020 05:00,D8:84:66:31:7F:24,195
15/01/2020 05:00,D8:84:66:31:7F:36,0
15/01/2020 05:00,D8:84:66:31:7F:42,69
15/01/2020 05:00,D8:84:66:31:7F:7E,169
15/01/2020 05:00,D8:84:66:31:7F:BC,0
15/01/2020 05:00,D8:84:66:31:7F:D4,214
15/01/2020 05:00,D8:84:66:31:80:02,157
15/01/2020 05:00,D8:84:66:31:80:1E,963
15/01/2020 05:00,D8:84:66:31:80:78,22
15/01/2020 05:00,D8:84:66:31:80:7C,0
15/01/2020 05:00,D8:84:66:31:80:86,340
15/01/2020 05:00,D8:84:66:31:80:D2,693
15/01/2020 05:00,D8:84:66:31:80:E4,50
15/01/2020 05:00,D8:84:66:31:80:EC,212
15/01/2020 05:00,D8:84:66:31:80:EE,212
15/01/2020 05:00,D8:84:66:31:80:F2,70
15/01/2020 05:00,D8:84:66:31:81:42,155
15/01/2020 05:00,D8:84:66:31:81:6C,871
15/01/2020 05:00,D8:84:66:31:81:74,0
15/01/2020 05:00,D8:84:66:31:81:A4,379
15/01/2020 05:00,D8:84:66:31:82:26,1444
15/01/2020 05:00,D8:84:66:31:82:28,417
15/01/2020 05:00,D8:84:66:31:82:32,0
15/01/2020 05:00,D8:84:66:31:82:3E,0
15/01/2020 05:00,D8:84:66:31:82:40,31
15/01/2020 05:00,D8:84:66:31:82:66,87
15/01/2020 05:00,D8:84:66:31:82:B6,751
15/01/2020 05:00,D8:84:66:31:83:12,324
15/01/2020 05:00,D8:84:66:31:83:14,509
15/01/2020 05:00,D8:84:66:31:83:DA,139
15/01/2020 05:00,D8:84:66:31:85:A0,561
15/01/2020 05:00,D8:84:66:31:D4:0E,0
15/01/2020 05:00,D8:84:66:31:D4:10,0
15/01/2020 05:00,D8:84:66:31:D4:12,211
15/01/2020 05:00,D8:84:66:31:D4:18,0
15/01/2020 05:00,D8:84:66:31:D4:36,0
15/01/2020 05:00,D8:84:66:31:D4:42,1267
15/01/2020 05:00,D8:84:66:31:D4:4C,552
15/01/2020 05:00,D8:84:66:31:D4:52,0
15/01/2020 05:00,D8:84:66:31:D4:76,0
15/01/2020 05:00,D8:84:66:31:D4:82,330
15/01/2020 05:00,D8:84:66:31:D4:B2,240
15/01/2020 05:00,D8:84:66:31:D4:E2,0
15/01/2020 05:00,D8:84:66:31:D5:0C,0
15/01/2020 05:00,D8:84:66:31:D5:20,0
15/01/2020 05:00,D8:84:66:31:D5:26,120
15/01/2020 05:00,D8:84:66:31:D5:34,83
15/01/2020 05:00,D8:84:66:31:D5:48,0
15/01/2020 05:00,D8:84:66:31:D5:C4,0
15/01/2020 05:00,D8:84:66:31:D5:DA,603
15/01/2020 05:00,D8:84:66:31:D6:66,414
15/01/2020 05:00,D8:84:66:31:D6:6A,0
15/01/2020 05:00,D8:84:66:31:D6:C8,119
15/01/2020 05:00,D8:84:66:31:D6:D2,0
15/01/2020 05:00,D8:84:66:31:D6:E6,120
15/01/2020 06:00,D8:84:66:0D:1B:E4,0
15/01/2020 06:00,D8:84:66:30:F2:EC,244
15/01/2020 06:00,D8:84:66:30:F7:A2,0
15/01/2020 06:00,D8:84:66:30:F7:C0,0
15/01/2020 06:00,D8:84:66:30:F8:64,0
15/01/2020 06:00,D8:84:66:30:F8:A4,0
15/01/2020 06:00,D8:84:66:30:F9:DA,886
15/01/2020 06:00,D8:84:66:31:7F:24,178
15/01/2020 06:00,D8:84:66:31:7F:36,0
15/01/2020 06:00,D8:84:66:31:7F:42,91
15/01/2020 06:00,D8:84:66:31:7F:7E,126
15/01/2020 06:00,D8:84:66:31:7F:BC,0
15/01/2020 06:00,D8:84:66:31:7F:D4,415
15/01/2020 06:00,D8:84:66:31:80:02,128
15/01/2020 06:00,D8:84:66:31:80:1E,1390
15/01/2020 06:00,D8:84:66:31:80:78,5
15/01/2020 06:00,D8:84:66:31:80:7C,0
15/01/2020 06:00,D8:84:66:31:80:86,808
15/01/2020 06:00,D8:84:66:31:80:D2,572
15/01/2020 06:00,D8:84:66:31:80:E4,51
15/01/2020 06:00,D8:84:66:31:80:EC,257
15/01/2020 06:00,D8:84:66:31:80:EE,136
15/01/2020 06:00,D8:84:66:31:80:F2,40
15/01/2020 06:00,D8:84:66:31:81:42,123
15/01/2020 06:00,D8:84:66:31:81:6C,1674
15/01/2020 06:00,D8:84:66:31:81:74,0
15/01/2020 06:00,D8:84:66:31:81:A4,177
15/01/2020 06:00,D8:84:66:31:82:26,1095
15/01/2020 06:00,D8:84:66:31:82:28,339
15/01/2020 06:00,D8:84:66:31:82:32,0
15/01/2020 06:00,D8:84:66:31:82:3E,0
15/01/2020 06:00,D8:84:66:31:82:40,37
15/01/2020 06:00,D8:84:66:31:82:66,125
15/01/2020 06:00,D8:84:66:31:82:B6,913
15/01/2020 06:00,D8:84:66:31:83:12,221
15/01/2020 06:00,D8:84:66:31:83:14,396
15/01/2020 06:00,D8:84:66:31:83:DA,172
15/01/2020 06:00,D8:84:66:31:85:A0,1283
15/01/2020 06:00,D8:84:66:31:D4:0E,0
15/01/2020 06:00,D8:84:66:31:D4:10,0
15/01/2020 06:00,D8:84:66:31:D4:12,275
15/01/2020 06:00,D8:84:66:31:D4:18,0
15/01/2020 06:00,D8:84:66:31:D4:36,0
15/01/2020 06:00,D8:84:66:31:D4:42,1022
15/01/2020 06:00,D8:84:66:31:D4:4C,457
15/01/2020 06:00,D8:84:66:31:D4:52,0
15/01/2020 06:00,D8:84:66:31:D4:76,0
15/01/2020 06:00,D8:84:66:31:D4:82,299
15/01/2020 06:00,D8:84:66:31:D4:B2,270
15/01/2020 06:00,D8:84:66:31:D4:E2,0
15/01/2020 06:00,D8:84:66:31:D5:0C,0
15/01/2020 06:00,D8:84:66:31:D5:20,0
15/01/2020 06:00,D8:84:66:31:D5:26,81
15/01/2020 06:00,D8:84:66:31:D5:34,126
15/01/2020 06:00,D8:84:66:31:D5:48,0
15/01/2020 06:00,D8:84:66:31:D5:C4,0
15/01/2020 06:00,D8:84:66:31:D5:DA,463
15/01/2020 06:00,D8:84:66:31:D6:66,455
15/01/2020 06:00,D8:84:66:31:D6:6A,0
15/01/2020 06:00,D8:84:66:31:D6:C8,91
15/01/2020 06:00,D8:84:66:31:D6:D2,0
15/01/2020 06:00,D8:84:66:31:D6:E6,201
15/01/2020 07:00,D8:84:66:0D:1B:E4,0
15/01/2020 07:00,D8:84:66:30:F2:EC,452
15/01/2020 07:00,D8:84:66:30:F7:A2,0
15/01/2020 07:00,D8:84:66:30:F7:C0,0
15/01/2020 07:00,D8:84:66:30:F8:64,0
15/01/2020 07:00,D8:84:66:30:F8:A4,0
15/01/2020 07:00,D8:84:66:30:F9:DA,1351
15/01/2020 07:00,D8:84:66:31:7F:24,356
15/01/2020 07:00,D8:84:66:31:7F:36,0
15/01/2020 07:00,D8:84:66:31:7F:42,178
15/01/2020 07:00,D8:84:66:31:7F:7E,247
15/01/2020 07:00,D8:84:66:31:7F:BC,0
15/01/2020 07:00,D8:84:66:31:7F:D4,602
15/01/2020 07:00,D8:84:66:31:80:02,245
15/01/2020 07:00,D8:84:66:31:80:1E,2211
15/01/2020 07:00,D8:84:66:31:80:78,166
15/01/2020 07:00,D8:84:66:31:80:7C,0
15/01/2020 07:00,D8:84:66:31:80:86,1638
15/01/2020 07:00,D8:84:66:31:80:D2,1312
15/01/2020 07:00,D8:84:66:31:80:E4,217
15/01/2020 07:00,D8:84:66:31:80:EC,514
15/01/2020 07:00,D8:84:66:31:80:EE,402
15/01/2020 07:00,D8:84:66:31:80:F2,17
15/01/2020 07:00,D8:84:66:31:81:42,353
15/01/2020 07:00,D8:84:66:31:81:6C,2799
15/01/2020 07:00,D8:84:66:31:81:74,0
15/01/2020 07:00,D8:84:66:31:81:A4,599
15/01/2020 07:00,D8:84:66:31:82:26,1774
15/01/2020 07:00,D8:84:66:31:82:28,704
15/01/2020 07:00,D8:84:66:31:82:32,300
15/01/2020 07:00,D8:84:66:31:82:3E,0
15/01/2020 07:00,D8:84:66:31:82:40,69
15/01/2020 07:00,D8:84:66:31:82:66,233
15/01/2020 07:00,D8:84:66:31:82:B6,1804
15/01/2020 07:00,D8:84:66:31:83:12,586
15/01/2020 07:00,D8:84:66:31:83:14,644
15/01/2020 07:00,D8:84:66:31:83:DA,0
15/01/2020 07:00,D8:84:66:31:85:A0,2332
15/01/2020 07:00,D8:84:66:31:D4:0E,0
15/01/2020 07:00,D8:84:66:31:D4:10,0
15/01/2020 07:00,D8:84:66:31:D4:12,674
15/01/2020 07:00,D8:84:66:31:D4:18,0
15/01/2020 07:00,D8:84:66:31:D4:36,0
15/01/2020 07:00,D8:84:66:31:D4:42,1983
15/01/2020 07:00,D8:84:66:31:D4:4C,1257
15/01/2020 07:00,D8:84:66:31:D4:52,0
15/01/2020 07:00,D8:84:66:31:D4:76,0
15/01/2020 07:00,D8:84:66:31:D4:82,787
15/01/2020 07:00,D8:84:66:31:D4:B2,712
15/01/2020 07:00,D8:84:66:31:D4:E2,0
15/01/2020 07:00,D8:84:66:31:D5:0C,0
15/01/2020 07:00,D8:84:66:31:D5:20,0
15/01/2020 07:00,D8:84:66:31:D5:26,281
15/01/2020 07:00,D8:84:66:31:D5:34,235
15/01/2020 07:00,D8:84:66:31:D5:48,0
15/01/2020 07:00,D8:84:66:31:D5:C4,0
15/01/2020 07:00,D8:84:66:31:D5:DA,841
15/01/2020 07:00,D8:84:66:31:D6:66,959
15/01/2020 07:00,D8:84:66:31:D6:6A,0
15/01/2020 07:00,D8:84:66:31:D6:C8,145
15/01/2020 07:00,D8:84:66:31:D6:D2,0
15/01/2020 07:00,D8:84:66:31:D6:E6,560
15/01/2020 08:00,D8:84:66:0D:1B:E4,0
15/01/2020 08:00,D8:84:66:30:F2:EC,638
15/01/2020 08:00,D8:84:66:30:F7:A2,0
15/01/2020 08:00,D8:84:66:30:F7:C0,0
15/01/2020 08:00,D8:84:66:30:F8:64,0
15/01/2020 08:00,D8:84:66:30:F8:A4,0
15/01/2020 08:00,D8:84:66:30:F9:DA,1747
15/01/2020 08:00,D8:84:66:31:7F:24,786
15/01/2020 08:00,D8:84:66:31:7F:36,0
15/01/2020 08:00,D8:84:66:31:7F:42,159
15/01/2020 08:00,D8:84:66:31:7F:7E,232
15/01/2020 08:00,D8:84:66:31:7F:BC,0
15/01/2020 08:00,D8:84:66:31:7F:D4,922
15/01/2020 08:00,D8:84:66:31:80:02,329
15/01/2020 08:00,D8:84:66:31:80:1E,1932
15/01/2020 08:00,D8:84:66:31:80:78,284
