Year,LSOA code (2021),LSOA name (2021),IoD 2025 air quality indicator score,Lower-layer Super Output Area (LSOA) 2021 local name
2023,E01032536,Coventry 001F,2.79,"Hawkesbury, M6 & Foxford School, Anderton Road"
2023,E01009581,Coventry 007C,2.76,Henley Green East
2023,E01009582,Coventry 008C,2.76,Potters Green - Narberth Way
2023,E01009522,Coventry 014A,2.75,Coundon - Scots Lane 
2023,E01009583,Coventry 008D,2.75,Walsgrave on Sowe – Mount Pleasant  & Walsgrave Gardens
2023,E01009644,Coventry 017B,2.75,Coundon - House Donnington Southbank
2023,E01009645,Coventry 014D,2.75,"Coundon - Cedars, Oak and Lavender Roads"
2023,E01009646,Coventry 022A,2.75,Allesley South - Dulverton Avenue
2023,E01009652,Coventry 017E,2.75,Coundon - Kingsbury - Shorncliffe
2023,E01009653,Coventry 017F,2.75,Coundon - Dallington – Gaveston Roads
2023,E01009684,Coventry 026B,2.75,Whoberley Artists' Corner (Rembrandt Close)
2023,E01009685,Coventry 026C,2.75,Whoberley - Glendower Avenue
2023,E01009694,Coventry 022D,2.75,Allesley Park – Allesley Old Road 
2023,E01032529,Coventry 038E,2.75,"Stonebridge Highway, Industrial & Housing Estates"
2023,E01009543,Coventry 033D,2.73,Binley Oak Farm – Skipworth Road
2023,E01009592,Coventry 043B,2.73,Holbrooks N – Masser Kirkdale Roads
2023,E01009593,Coventry 002C,2.73,Holbrooks - Parkville – Roland Avenue
2023,E01032587,Coventry 043E,2.73,Holbrooks N- Fallowfield – Briscoe 
2023,E01009532,Coventry 033A,2.72,Binley Business Park - Bredon Avenue
2023,E01009536,Coventry 033C,2.72,Binley - Princethorpe
2023,E01009707,Coventry 033E,2.72,Clifford Bridge South 
2023,E01009708,Coventry 033F,2.72,Caludon South - Mayflower Road 
2023,E01009718,Coventry 019E,2.72,Attoxhall Road
2023,E01009580,Coventry 019A,2.71,"Cross Point, A46 West & University Hospital "
2023,E01009672,Coventry 040E,2.71,Finham Triangle - Green Lane 
2023,E01009560,Coventry 040A,2.68,Stivichall - Leamington & & Knoll Drive North
2023,E01009561,Coventry 040B,2.68,Finham North Festival & Fenside
2023,E01009563,Coventry 040D,2.68,Stivichall - Baginton Road East
2023,E01009717,Coventry 019D,2.68,Sowe Valley - Dorchester Road South
2023,E01032528,Coventry 035H,2.68,"Ernesford Grange - Langbank Avenue, rail line & Tarquin Close North"
2023,E01034746,Coventry 035J,2.68,Lower Stoke Aldermoor
2023,E01009525,Coventry 006B,2.67,Keresley Green East
2023,E01009559,Coventry 034F,2.67,"Memorial Park, Henry VIII - Styvechale Avenue"
2023,E01009594,Coventry 006D,2.67,Keresley –Penny Park Halford Roads
2023,E01009598,Coventry 002D,2.67,Holbrooks – Penny Park Lane
