Address,Postcode,Type,Status,Source,lat,long,Description
531 FOLESHILL ROAD CV6 5AU,CV6 5AU,Commercial - Retail - Banks/financial services,,LLPG-BLPU-20200709,52.428865,-1.499341,
4 STATION STREET EAST CV6 5FJ,CV6 5FJ,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.428801,-1.496856,
396-398 FOLESHILL ROAD CV6 5AN,CV6 5AN,Commercial - Retail - Other Licensed Premise / Vendor,,LLPG-BLPU-20200709,52.428693,-1.498902,
519-521 FOLESHILL ROAD CV6 5AU,CV6 5AU,Commercial - Retail - Banks/financial services,,LLPG-BLPU-20200709,52.428865,-1.499341,
358 FOLESHILL ROAD CV6 5AN,CV6 5AN,Commercial - Retail - Other Licensed Premise / Vendor,,LLPG-BLPU-20200709,52.428693,-1.498902,
586B STONEY STANTON ROAD CV6 5FS,CV6 5FS,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.427536,-1.491208,
49 WOODWAY LANE CV2 2EE,CV2 2EE,Commercial - Retail - Fast food outlets / takeaways (hot and cold),,LLPG-BLPU-20200709,52.426365,-1.44472,
JOSHI ESTATES 431 FOLESHILL ROAD CV6 5AQ,CV6 5AQ,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.426607,-1.501146,
RYEHILL SERVICE STATION DUNCHURCH HIGHWAY CV5 9QT,CV5 9QT,Commercial - Retail - Petrol Filling stations,,LLPG-BLPU-20200709,52.425203,-1.571809,
323 FOLESHILL ROAD CV1 4JS,CV1 4JS,Commercial - Retail - Retail Service Agent,,LLPG-BLPU-20200709,52.422308,-1.50493,
LADBROKE RACING LTD TORCROSS AVENUE CV2 3NQ,CV2 3NQ,Commercial - Retail - Other Licensed Premise / Vendor,,LLPG-BLPU-20200709,52.420791,-1.468141,
52 TORCROSS AVENUE CV2 3NQ,CV2 3NQ,Commercial - Retail - Other Licensed Premise / Vendor,,LLPG-BLPU-20200709,52.420791,-1.468141,
