LSOA,IMD rank,IMD decile,IDACI rank,IDACI decile,IDAOPI rank,IDAOPI decile
E01014732,"16,246",5,"20,982",7,"13,353",5
E01014733,"18,856",6,"19,643",6,"17,718",6
E01014734,"20,081",7,"20,905",7,"17,508",6
E01014735,"20,265",7,"21,930",7,"24,921",8
E01014736,"9,837",3,"14,016",5,"4,350",2
E01014737,"32,773",10,"29,015",9,"32,272",10
E01014738,"27,044",9,"20,163",7,"21,461",7
E01014739,"25,523",8,"25,895",8,"29,127",9
E01014740,"23,057",8,"31,613",10,"28,888",9
E01014741,"27,133",9,"22,952",7,"22,610",7
E01014742,"32,672",10,"32,477",10,"32,142",10
E01014744,"20,039",7,"20,542",7,"26,103",8
E01014745,"24,539",8,"25,691",8,"21,234",7
E01014746,"12,966",4,"4,661",2,"13,811",5
E01014747,"24,285",8,"28,087",9,"26,448",9
E01014748,"28,487",9,"25,078",8,"25,514",8
E01014749,"31,684",10,"30,174",10,"31,110",10
E01014750,"19,067",6,"28,323",9,"15,048",5
E01014751,"15,437",5,"14,096",5,"16,727",6
E01014752,"28,890",9,"22,787",7,"31,501",10
E01014753,"14,293",5,"14,013",5,"10,174",4
E01014754,"26,176",8,"27,216",9,"25,550",8
E01014755,"27,199",9,"27,781",9,"19,962",7
E01014756,"20,504",7,"28,184",9,"18,622",6
E01014757,"27,863",9,"29,812",10,"25,471",8
E01014758,"26,010",8,"32,393",10,"28,057",9
E01014759,"32,501",10,"32,480",10,"31,807",10
E01014760,"22,806",7,"16,248",5,"23,359",8
E01014761,"29,882",10,"24,123",8,"23,508",8
E01014762,"29,114",9,"30,068",10,"23,611",8
E01014763,"22,434",7,"21,978",7,"19,445",6
E01014764,"19,633",6,"13,711",5,"19,854",7
E01014765,"26,336",9,"8,997",3,"28,855",9
E01014766,"24,858",8,"31,031",10,"32,390",10
E01014767,"32,306",10,"31,216",10,"32,256",10
E01014769,"19,039",6,"13,858",5,"19,705",6
E01014770,"21,875",7,"17,314",6,"21,247",7
E01014771,"25,316",8,"20,805",7,"23,547",8
E01014772,"18,857",6,"21,737",7,"22,203",7
E01014773,"23,422",8,"24,113",8,"24,021",8
E01014774,"10,808",4,"22,031",7,"16,905",6
E01014775,"31,417",10,"31,248",10,"32,398",10
E01014776,"32,076",10,"30,533",10,"31,083",10
E01014777,"29,776",10,"26,006",8,"29,564",10
E01014778,"32,531",10,"30,495",10,"32,420",10
E01014779,"27,099",9,"29,496",9,"23,945",8
E01014780,"18,838",6,"17,658",6,"16,485",6
