pcds,term,usertype,oa21,lsoa11,lsoa21,lsoa21_onsname,lsoa21_name,imd_decile,msoa21,msoa21_onsname,msoa21_name,ward,ward_name,pcon,pcon_name
CV5 9FJ,0,0,E00048252,E01009523,E01009523,Coventry 010A,Hawkes End & countryside,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9FL,0,0,E00048252,E01009523,E01009523,Coventry 010A,Hawkes End & countryside,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9FN,0,0,E00048249,E01009523,E01009523,Coventry 010A,Hawkes End & countryside,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9FP,0,0,E00048249,E01009523,E01009523,Coventry 010A,Hawkes End & countryside,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9FQ,0,0,E00048249,E01009523,E01009523,Coventry 010A,Hawkes End & countryside,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9FR,0,0,E00048234,E01009528,E01009528,Coventry 010C,Browns Lane ,8,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9FS,0,0,E00048234,E01009528,E01009528,Coventry 010C,Browns Lane ,8,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9FT,0,0,E00048234,E01009528,E01009528,Coventry 010C,Browns Lane ,8,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9FU,0,0,E00048234,E01009528,E01009528,Coventry 010C,Browns Lane ,8,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9FW,0,0,E00048238,E01009531,E01009531,Coventry 010D,Allesley Village,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
CV5 9FX,0,0,E00048238,E01009531,E01009531,Coventry 010D,Allesley Village,6,E02001967,Coventry 010,Brownshill Green,E05001218,Bablake,E14001181,Coventry North West
